Lat Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Ann
--- --- --- --- --- --- --- --- --- --- --- --- --- ---
-82.5	489.5	304	91	7.5	0	0	0	2	42.25	222	437.75	544.5	177.975
-67.5	471	335.25	186.75	71.75	19.25	7.25	12.25	46.75	138.25	278.5	429.5	515.5	208.8
-52.5	483.5	396.25	281.5	172.75	98.5	69	83	141	237	352.75	456.75	509.75	272.975
-37.5	497	441	358.5	268	198	166	180.75	237.75	321	408.75	478.75	511.75	338.425
-22.5	486.5	459.75	411	347.25	291.5	263.75	276	322.25	383.25	438.75	476	491.5	386.875
-7.5	448.25	449	435.5	404.25	369.25	350	357.75	387	419.75	440.25	445	444.5	412.35
7.5	383.75	409.5	430.5	434.75	426	417.25	419.5	427	427.5	412.5	387.5	372.75	412.4
22.5	297.25	343.5	396.5	436.5	456.75	461.5	457	440.25	406.75	357.25	307	281.25	387
37.5	196.25	256.25	335.25	410.25	461	480.75	468.75	425.5	358.25	279	210	177.5	338.675
52.5	91.75	155.5	251.5	358.25	441.75	479.25	458	385.5	285.75	183.5	106.5	74	273.25
67.5	14.5	54.5	152	287.75	419.25	485	449.25	331.25	194.75	81	22	7.75	209.15
82.5	0	3	53.5	239.25	429	513	468.75	307.5	103.25	10.5	0	0	178.325
